zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
19174986,FOR_SALE,House for sale,39 days,299999,1143,262,,,1774,6000,sqft,3,2,"388 N Cabrillo St, Planada, CA 95365",388 N Cabrillo St,Planada,CA,95365,37.293465,-120.31511,Keller Williams Property Team,false,,,https://photos.zillowstatic.com/fp/7dcd8f808bc237c92ca8136711b2b7ec-p_e.jpg,https://www.zillow.com/homedetails/388-N-Cabrillo-St-Planada-CA-95365/19174986_zpid/,https://www.zillow.com/planada-ca-95365/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.34423581063178%2C%22south%22%3A37.261898283787204%2C%22east%22%3A-120.26228418469239%2C%22west%22%3A-120.39326181530762%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98143%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Planada%20CA%2095365%22%7D,,,,,,,,,,,,,,,
64441422,FOR_SALE,House for sale,52 days,327000,1040,314,327000,314,1551,6156,sqft,3,1,"266 N Leon Ct, Planada, CA 95365",266 N Leon Ct,Planada,CA,95365,37.29173,-120.30688,London Properties Ltd - Merced,false,,,https://photos.zillowstatic.com/fp/cbae989f9a945a33eacc7e2ed0d4040b-p_e.jpg,https://www.zillow.com/homedetails/266-N-Leon-Ct-Planada-CA-95365/64441422_zpid/,https://www.zillow.com/planada-ca-95365/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.34423581063178%2C%22south%22%3A37.261898283787204%2C%22east%22%3A-120.26228418469239%2C%22west%22%3A-120.39326181530762%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98143%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Planada%20CA%2095365%22%7D,,,,,,,,,,,,,,,
19174940,FOR_SALE,House for sale,59 days,354999,1272,279,354200,278,1844,8788,sqft,3,2,"452 Gage St, Planada, CA 95365",452 Gage St,Planada,CA,95365,37.29443,-120.32221,Tinetti Realty Group,false,,,https://photos.zillowstatic.com/fp/0679acfa76fb832dd0992fea5c10d50f-p_e.jpg,https://www.zillow.com/homedetails/452-Gage-St-Planada-CA-95365/19174940_zpid/,https://www.zillow.com/planada-ca-95365/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.34423581063178%2C%22south%22%3A37.261898283787204%2C%22east%22%3A-120.26228418469239%2C%22west%22%3A-120.39326181530762%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98143%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Planada%20CA%2095365%22%7D,,,,,,,,,,,,,,,
249023769,FOR_SALE,House for sale,290 days,1475000,900,1639,,,1784,15.1,acres,3,1,"9457 E Childs Ave, Planada, CA 95365",9457 E Childs Ave,Planada,CA,95365,37.287663,-120.31538,,false,,,https://photos.zillowstatic.com/fp/7dafb72644cab91202fb02775f4bb8af-p_e.jpg,https://www.zillow.com/homedetails/9457-E-Childs-Ave-Planada-CA-95365/249023769_zpid/,https://www.zillow.com/planada-ca-95365/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.34423581063178%2C%22south%22%3A37.261898283787204%2C%22east%22%3A-120.26228418469239%2C%22west%22%3A-120.39326181530762%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A13%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98143%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%22Planada%20CA%2095365%22%7D,,,,,,,,,,,,,,,
