zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
19155402,FOR_SALE,House for sale,3 days,415000,1772,234,415700,235,2003,8747,sqft,3,2,"1690 Sierra Madre Dr, Atwater, CA 95301",1690 Sierra Madre Dr,Atwater,CA,95301,37.347828,-120.58858,Keller Williams Elite,false,,,https://photos.zillowstatic.com/fp/6e840c0dfd208f647ce2c463faef8a44-p_e.jpg,https://www.zillow.com/homedetails/1690-Sierra-Madre-Dr-Atwater-CA-95301/19155402_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
64703067,FOR_SALE,House for sale,1 days,490000,2380,206,489400,206,2445,8412,sqft,3,3,"1553 Grandview Dr, Atwater, CA 95301",1553 Grandview Dr,Atwater,CA,95301,37.343937,-120.57304,"Real Estate eBroker, Inc",false,,,https://photos.zillowstatic.com/fp/adc493914ad4a1959660daeb8969896e-p_e.jpg,https://www.zillow.com/homedetails/1553-Grandview-Dr-Atwater-CA-95301/64703067_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
19154865,FOR_SALE,House for sale,3 days,439900,1870,235,436700,234,2161,8856,sqft,3,2,"211 Laurel Ave, Atwater, CA 95301",211 Laurel Ave,Atwater,CA,95301,37.35238,-120.598465,,false,,,https://photos.zillowstatic.com/fp/a013f8e2a360499317b47e36bd9070e1-p_e.jpg,https://www.zillow.com/homedetails/211-Laurel-Ave-Atwater-CA-95301/19154865_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
19155879,FOR_SALE,House for sale,19 days,439900,1600,275,440800,276,2119,8000,sqft,3,2,"990 Summerfield Dr, Atwater, CA 95301",990 Summerfield Dr,Atwater,CA,95301,37.34862,-120.5863,London Properties Ltd - Merced,false,,,https://photos.zillowstatic.com/fp/7a4c9f5f6b651427cff69a06445c974e-p_e.jpg,https://www.zillow.com/homedetails/990-Summerfield-Dr-Atwater-CA-95301/19155879_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
19193232,FOR_SALE,House for sale,33 days,365000,1040,351,367400,353,1946,6055,sqft,3,2,"1108 Magnolia Ct, Atwater, CA 95301",1108 Magnolia Ct,Atwater,CA,95301,37.362865,-120.60441,"London Properties Ltd, Atwater",false,,,https://photos.zillowstatic.com/fp/19f30a82df6b3d3ecab5438b75bd27a5-p_e.jpg,https://www.zillow.com/homedetails/1108-Magnolia-Ct-Atwater-CA-95301/19193232_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
49940371,FOR_SALE,House for sale,29 days,340000,1180,288,339600,288,2024,4927,sqft,3,2,"705 Vista Del Rey Dr, Atwater, CA 95301",705 Vista Del Rey Dr,Atwater,CA,95301,37.337788,-120.582115,,false,,,https://photos.zillowstatic.com/fp/83471b5d0b348d79734cb985c721823d-p_e.jpg,https://www.zillow.com/homedetails/705-Vista-Del-Rey-Dr-Atwater-CA-95301/49940371_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
19157078,FOR_SALE,House for sale,20 days,1295000,3281,395,1273100,388,3002,1.3376,acres,3,3,"5891 W Mulberry Ave, Atwater, CA 95301",5891 W Mulberry Ave,Atwater,CA,95301,37.323368,-120.594315,Homesmart PV & Associates,false,,,https://photos.zillowstatic.com/fp/c32f78c609a380d06057eb8f3c6f1894-p_e.jpg,https://www.zillow.com/homedetails/5891-W-Mulberry-Ave-Atwater-CA-95301/19157078_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
134072380,FOR_SALE,House for sale,152 days,1199000,2785,431,1169800,420,2789,9.3,acres,3,3,"4808 W Elliott Ave, Atwater, CA 95301",4808 W Elliott Ave,Atwater,CA,95301,37.321026,-120.573616,,false,,,https://photos.zillowstatic.com/fp/b7fb7945dbed3604bc701be3100c3c9f-p_e.jpg,https://www.zillow.com/homedetails/4808-W-Elliott-Ave-Atwater-CA-95301/134072380_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
19154837,FOR_SALE,House for sale,219 days,392000,1204,326,391700,325,2038,8194,sqft,3,2,"628 Glen Ct, Atwater, CA 95301",628 Glen Ct,Atwater,CA,95301,37.35378,-120.5989,,false,,,https://photos.zillowstatic.com/fp/8a4cb757e5fec5e9e0f2ecd2509d54a0-p_e.jpg,https://www.zillow.com/homedetails/628-Glen-Ct-Atwater-CA-95301/19154837_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
2070145758,FOR_SALE,House for sale,25 days,400000,1546,259,398900,258,2116,5014,sqft,3,2,"2600 Whipplewood Ct, Atwater, CA 95301",2600 Whipplewood Ct,Atwater,CA,95301,37.358406,-120.61086,,false,,,https://photos.zillowstatic.com/fp/220a9140c09f811599c7c6d5019c4bbb-p_e.jpg,https://www.zillow.com/homedetails/2600-Whipplewood-Ct-Atwater-CA-95301/2070145758_zpid/,https://www.zillow.com/atwater-ca-95301/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.460990692538054%2C%22south%22%3A37.131611875569114%2C%22east%22%3A-120.30113661588837%2C%22west%22%3A-120.8250471383493%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98087%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%2C%22mapZoom%22%3A11%7D,,,,,,,,,,,,,,,
