zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL,Detail URL,Search Page URL,Listing Agent Email,Listing Agent Phone,Hoa Fees,Most Rencent Tax Assessed Value,Parking Capacity,Heating,Cooling,Stories,Year Built,Property Taxes,Parcel Number,Property Type,Property subtype,Description,Home Insights
19189908,FOR_SALE,House for sale,125 days,330000,1064,310,329700,310,1735,0.4537878787878788,acres,3,2,"9785 N Shaffer Rd, Winton, CA 95388",9785 N Shaffer Rd,Winton,CA,95388,37.42991,-120.59479,Realty Executives Of Northern California,false,,,https://photos.zillowstatic.com/fp/998426fe8fa8569b04fd4858d7128e8a-p_e.jpg,https://www.zillow.com/homedetails/9785-N-Shaffer-Rd-Winton-CA-95388/19189908_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
69001211,FOR_SALE,House for sale,53 days,395000,2069,191,395300,191,2277,6572,sqft,3,3,"7379 Louise Ave, Winton, CA 95388",7379 Louise Ave,Winton,CA,95388,37.38295,-120.62045,London Properties Ltd - Merced,false,,,https://photos.zillowstatic.com/fp/8e4b26699f6b7aa5c934ac034c64a6a0-p_e.jpg,https://www.zillow.com/homedetails/7379-Louise-Ave-Winton-CA-95388/69001211_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19191968,FOR_SALE,House for sale,42 days,399901,1162,344,,,1735,1.4996,acres,3,1,"7369 W Gertrude Ave, Winton, CA 95388",7369 W Gertrude Ave,Winton,CA,95388,37.37444,-120.620346,Matel Realtors,false,,,https://photos.zillowstatic.com/fp/6d3b07136fb5272d0135bf8d7a8d4688-p_e.jpg,https://www.zillow.com/homedetails/7369-W-Gertrude-Ave-Winton-CA-95388/19191968_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19190384,FOR_SALE,House for sale,77 days,420000,1536,273,,,1873,6600,sqft,3,2,"7152 Dean St, Winton, CA 95388",7152 Dean St,Winton,CA,95388,37.39162,-120.6193,Homesmart PV & Associates,false,,,https://photos.zillowstatic.com/fp/406e78d6c1811a85162af3f4a0510bb2-p_e.jpg,https://www.zillow.com/homedetails/7152-Dean-St-Winton-CA-95388/19190384_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
19191874,FOR_SALE,House for sale,235 days,549000,2010,273,549300,273,2409,1.6,acres,3,2,"6274 Gertrude Ave, Winton, CA 95388",6274 Gertrude Ave,Winton,CA,95388,37.375587,-120.60061,Realty Executives Of Northern California,false,,,https://photos.zillowstatic.com/fp/9856666d8c1eed89ad60d509862eb122-p_e.jpg,https://www.zillow.com/homedetails/6274-Gertrude-Ave-Winton-CA-95388/19191874_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
333870103,FOR_SALE,House for sale,250 days,1150000,1339,859,1128500,843,1856,38.7942,acres,3,1,"8530 N Winton Way, Winton, CA 95388",8530 N Winton Way,Winton,CA,95388,37.413033,-120.61057,Powerhouse Realty,false,,,https://photos.zillowstatic.com/fp/b351faadc39be50489fe1ea0ad9b451c-p_e.jpg,https://www.zillow.com/homedetails/8530-N-Winton-Way-Winton-CA-95388/333870103_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
134065499,FOR_SALE,House for sale,363 days,1400000,2400,583,,,2925,35.8,acres,3,3,"9594 Lupin Ave, Winton, CA 95388",9594 Lupin Ave,Winton,CA,95388,37.42626,-120.59955,"Homesmart PV & Assoc., Merced",false,,,https://photos.zillowstatic.com/fp/c6f65009d7080778f8487c3469ddb1ed-p_e.jpg,https://www.zillow.com/homedetails/9594-Lupin-Ave-Winton-CA-95388/134065499_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
82017933,FOR_SALE,Multi-family home for sale,25 days,2400000,1100,2182,2295100,2086,1506,4.7,acres,3,1,"7176 Vine Ave, Winton, CA 95388",7176 Vine Ave,Winton,CA,95388,37.391605,-120.63042,,false,,,https://photos.zillowstatic.com/fp/3248154095d0b8e6ae4f11751ec2fa62-p_e.jpg,https://www.zillow.com/homedetails/7176-Vine-Ave-Winton-CA-95388/82017933_zpid/,https://www.zillow.com/winton-ca-95388/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A37.49618255915576%2C%22south%22%3A37.33175074667749%2C%22east%22%3A-120.45531086938475%2C%22west%22%3A-120.71726613061522%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22pricea%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A1%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A98164%2C%22regionType%22%3A7%7D%5D%2C%22pagination%22%3A%7B%7D%7D,,,,,,,,,,,,,,,
